location,trap_set_date,week_ending_saturday,epi_week,year,site_type,virus
Ballina,15/04/2020,18/04/2020,16,2020,Coastal,Barmah Forest
Central Coast,43834,04/04/2020,16,2020,Coastal,Barmah Forest
Tweed,43986,11/04/2020,16,2020,Coastal,Barmah Forest
Moree,27/04/2025,03/05/2025,16,2025,Inland,Barmah Forest
Moree,27/04/2025,03/05/2025,16,2025,Inland,Barmah Forest
Liverpool,27/04/2020,02/05/2020,16,2020,Sydney,Barmah Forest
Northern Beaches,43986,11/04/2020,16,2020,Sydney,Barmah Forest
Northern Beaches,27/04/2020,02/05/2020,16,2020,Sydney,Barmah Forest
Port Stephens,41855,12/04/2014,17,2014,Coastal,Barmah Forest
Port Macquarie,45508,13/04/2024,17,2024,Coastal,Barmah Forest
Northern Beaches,20/04/2020,25/04/2020,17,2020,Sydney,Barmah Forest
Lake Macquarie,16/05/2007,19/05/2007,20,2007,Coastal,Barmah Forest
Central Coast,44962,06/05/2023,21,2023,Coastal,Barmah Forest
Northern Beaches,44597,07/05/2022,21,2022,Sydney,Barmah Forest
Forbes,15/11/2016,19/11/2016,46,2016,Inland,Barmah Forest
Griffith,16/11/2010,20/11/2010,47,2010,Inland,Barmah Forest
Griffith,14/11/2016,19/11/2016,47,2016,Inland,Barmah Forest
Griffith,22/11/2022,26/11/2022,47,2022,Inland,Barmah Forest
Macquarie Marshes,14/11/2022,19/11/2022,47,2022,Inland,Barmah Forest
Port Stephens,18/12/2007,22/12/2007,51,2007,Coastal,Barmah Forest
Griffith,13/12/2010,18/12/2010,51,2010,Inland,Barmah Forest
Leeton,40371,11/12/2010,51,2010,Inland,Barmah Forest
Leeton,14/12/2010,18/12/2010,51,2010,Inland,Barmah Forest
Leeton,23/12/2010,25/12/2010,51,2010,Inland,Barmah Forest
Deniliquin,44724,10/12/2022,51,2022,Inland,Barmah Forest
Griffith,44724,10/12/2022,51,2022,Inland,Barmah Forest
Grong Grong,44907,17/12/2022,51,2022,Inland,Barmah Forest
Leeton,44693,10/12/2022,51,2022,Inland,Barmah Forest
Batemans Bay,17/01/1995,21/01/1995,3,1995,Coastal,Edge Hill
Batemans Bay,23/01/1995,28/01/1995,3,1995,Coastal,Edge Hill
Port Stephens,18/01/2010,23/01/2010,3,2010,Coastal,Edge Hill
Central Coast,16/01/2024,20/01/2024,3,2024,Coastal,Edge Hill
Newcastle,23/01/2024,27/01/2024,3,2024,Coastal,Edge Hill
Tweed,29/01/2024,03/02/2024,3,2024,Coastal,Edge Hill
Warren,18/01/1993,23/01/1993,3,1993,Inland,Edge Hill
Albury,40848,15/01/2011,3,2011,Inland,Edge Hill
Griffith,29/01/2019,02/02/2019,3,2019,Inland,Edge Hill
Corowa,45170,14/01/2023,3,2023,Inland,Edge Hill
Blacktown,22/01/2019,26/01/2019,3,2019,Sydney,Edge Hill
Georges River - East,43739,12/01/2019,3,2019,Sydney,Edge Hill
Georges River - East,24/01/2019,26/01/2019,3,2019,Sydney,Edge Hill
Georges River - West,43709,12/01/2019,3,2019,Sydney,Edge Hill
Georges River - West,16/01/2019,19/01/2019,3,2019,Sydney,Edge Hill
Georges River - West,23/01/2019,26/01/2019,3,2019,Sydney,Edge Hill
The Hills,23/01/2019,26/01/2019,3,2019,Sydney,Edge Hill
Northern Beaches,29/01/2024,03/02/2024,3,2024,Sydney,Edge Hill
Sydney Olympic Park,29/01/2024,03/02/2024,3,2024,Sydney,Edge Hill
Batemans Bay,31/01/1995,04/02/1995,4,1995,Coastal,Edge Hill
Central Coast,45352,06/01/2024,4,2024,Coastal,Edge Hill
Bankstown,30/01/2024,03/02/2024,4,2024,Sydney,Edge Hill
Georges River - East,30/01/2024,03/02/2024,4,2024,Sydney,Edge Hill
Warren,34214,13/02/1993,7,1993,Inland,Edge Hill
Blacktown,26/02/2013,02/03/2013,7,2013,Sydney,Edge Hill
Homebush,42249,14/02/2015,7,2015,Sydney,Edge Hill
Batemans Bay,34852,11/02/1995,8,1995,Coastal,Edge Hill
Batemans Bay,14/02/1995,18/02/1995,8,1995,Coastal,Edge Hill
Batemans Bay,20/02/1995,25/02/1995,8,1995,Coastal,Edge Hill
Port Stephens,19/02/1996,24/02/1996,8,1996,Coastal,Edge Hill
Port Stephens,38900,11/02/2006,8,2006,Coastal,Edge Hill
Port Stephens,40211,06/02/2010,8,2010,Coastal,Edge Hill
Port Stephens,18/02/2010,20/02/2010,8,2010,Coastal,Edge Hill
Port Stephens,28/02/2012,03/03/2012,8,2012,Coastal,Edge Hill
Port Macquarie,42584,13/02/2016,8,2016,Coastal,Edge Hill
Port Macquarie,24/02/2020,29/02/2020,8,2020,Coastal,Edge Hill
Batemans Bay,45445,10/02/2024,8,2024,Coastal,Edge Hill
Central Coast,45475,10/02/2024,8,2024,Coastal,Edge Hill
Newcastle,45445,10/02/2024,8,2024,Coastal,Edge Hill
Newcastle,45628,17/02/2024,8,2024,Coastal,Edge Hill
Port Macquarie,45628,17/02/2024,8,2024,Coastal,Edge Hill
Griffith,36162,06/02/1999,8,1999,Inland,Edge Hill
Leeton,39601,09/02/2008,8,2008,Inland,Edge Hill
Murray-Mathoura,40576,05/02/2011,8,2011,Inland,Edge Hill
Moree,19/02/2023,25/02/2023,8,2023,Inland,Edge Hill
Hawkesbury,14/02/2008,16/02/2008,8,2008,Sydney,Edge Hill
Georges River - West,24/02/2015,28/02/2015,8,2015,Sydney,Edge Hill
Georges River - West,43801,16/02/2019,8,2019,Sydney,Edge Hill
Canada Bay,29/02/2024,02/03/2024,8,2024,Sydney,Edge Hill
Georges River - West,45475,10/02/2024,8,2024,Sydney,Edge Hill
Northern Beaches,20/02/2024,24/02/2024,8,2024,Sydney,Edge Hill
Parramatta,45445,10/02/2024,8,2024,Sydney,Edge Hill
Sydney Olympic Park,45414,10/02/2024,8,2024,Sydney,Edge Hill
Port Stephens,16/03/1998,21/03/1998,11,1998,Coastal,Edge Hill
Boggabilla,35372,16/03/1996,11,1996,Inland,Edge Hill
Grong Grong,45385,09/03/2024,11,2024,Inland,Edge Hill
Georges River - West,26/03/2017,01/04/2017,11,2017,Sydney,Edge Hill
Hawkesbury,44077,14/03/2020,11,2020,Sydney,Edge Hill
Northern Beaches,44472,13/03/2021,11,2021,Sydney,Edge Hill
Georges River - West,45385,09/03/2024,11,2024,Sydney,Edge Hill
