location,trap_set_date,week_ending_saturday,epi_week,year,site_type,virus
Griffith,40452,16/01/2010,3,2010,Inland,Ross River
Leeton,40513,16/01/2010,3,2010,Inland,Ross River
Griffith,41000,07/01/2012,3,2012,Inland,Ross River
Leeton,18/01/2012,21/01/2012,3,2012,Inland,Ross River
Leeton,23/01/2015,24/01/2015,3,2015,Inland,Ross River
Albury,16/01/2017,21/01/2017,3,2017,Inland,Ross River
Griffith,43009,14/01/2017,3,2017,Inland,Ross River
Leeton,42979,14/01/2017,3,2017,Inland,Ross River
Forbes,44835,15/01/2022,3,2022,Inland,Ross River
Corowa,45170,14/01/2023,3,2023,Inland,Ross River
Griffith,21/01/2025,25/01/2025,3,2025,Inland,Ross River
Wagga Wagga,28/01/2025,01/02/2025,3,2025,Inland,Ross River
Penrith,44866,15/01/2022,3,2022,Sydney,Ross River
Menindee,31/01/2011,05/02/2011,4,2011,Inland,Ross River
Griffith,43160,06/01/2018,4,2018,Inland,Ross River
Griffith,31/01/2018,03/02/2018,4,2018,Inland,Ross River
Griffith,19/01/2021,23/01/2021,4,2021,Inland,Ross River
Albury,20/01/2025,25/01/2025,4,2025,Inland,Ross River
Penrith,25/01/2022,29/01/2022,4,2022,Sydney,Ross River
Batemans Bay,33696,08/02/1992,7,1992,Coastal,Ross River
Port Macquarie,22/02/1995,25/02/1995,7,1995,Coastal,Ross River
Batemans Bay,35522,08/02/1997,7,1997,Coastal,Ross River
Port Stephens,27/02/1997,01/03/1997,7,1997,Coastal,Ross River
Port Macquarie,21/02/2006,25/02/2006,7,2006,Coastal,Ross River
Port Stephens,21/02/2006,25/02/2006,7,2006,Coastal,Ross River
Port Stephens,27/02/2007,03/03/2007,7,2007,Coastal,Ross River
Central Coast,21/02/2012,25/02/2012,7,2012,Coastal,Ross River
Port Macquarie,15/02/2021,20/02/2021,7,2021,Coastal,Ross River
Newcastle,27/02/2024,02/03/2024,7,2024,Coastal,Ross River
Bourke,26/02/1990,03/03/1990,7,1990,Inland,Ross River
Griffith,27/02/1995,04/03/1995,7,1995,Inland,Ross River
Menindee,35187,10/02/1996,7,1996,Inland,Ross River
Warren,35187,10/02/1996,7,1996,Inland,Ross River
Griffith,35705,15/02/1997,7,1997,Inland,Ross River
Grong Grong,26/02/2024,02/03/2024,7,2024,Inland,Ross River
Ryde,27/02/2012,03/03/2012,7,2012,Sydney,Ross River
Bankstown,21/02/2022,26/02/2022,7,2022,Sydney,Ross River
Penrith,15/02/2022,19/02/2022,7,2022,Sydney,Ross River
Merimbula,20/02/1991,23/02/1991,8,1991,Coastal,Ross River
Batemans Bay,34852,11/02/1995,8,1995,Coastal,Ross River
Batemans Bay,14/02/1995,18/02/1995,8,1995,Coastal,Ross River
Batemans Bay,20/02/1995,25/02/1995,8,1995,Coastal,Ross River
Tathra,34882,11/02/1995,8,1995,Coastal,Ross River
Batemans Bay,25/02/1997,01/03/1997,8,1997,Coastal,Ross River
Maclean,19/02/1997,22/02/1997,8,1997,Coastal,Ross River
Batemans Bay,36162,06/02/1999,8,1999,Coastal,Ross River
Central Coast,36162,06/02/1999,8,1999,Coastal,Ross River
Forster,36221,06/02/1999,8,1999,Coastal,Ross River
Port Stephens,36162,06/02/1999,8,1999,Coastal,Ross River
Batemans Bay,13/02/2002,16/02/2002,8,2002,Coastal,Ross River
Lake Macquarie,20/02/2006,25/02/2006,8,2006,Coastal,Ross River
Port Stephens,14/02/2006,18/02/2006,8,2006,Coastal,Ross River
Port Stephens,28/02/2006,04/03/2006,8,2006,Coastal,Ross River
Port Stephens,41092,11/02/2012,8,2012,Coastal,Ross River
Tweed,24/02/2015,28/02/2015,8,2015,Coastal,Ross River
Port Macquarie,44410,13/02/2021,8,2021,Coastal,Ross River
Ballina,45628,17/02/2024,8,2024,Coastal,Ross River
Byron Bay,45414,10/02/2024,8,2024,Coastal,Ross River
Byron Bay,45628,17/02/2024,8,2024,Coastal,Ross River
Newcastle,45445,10/02/2024,8,2024,Coastal,Ross River
Griffith,32541,04/02/1989,8,1989,Inland,Ross River
Condobolin,34030,06/02/1993,8,1993,Inland,Ross River
Griffith,33971,06/02/1993,8,1993,Inland,Ross River
Griffith,34183,13/02/1993,8,1993,Inland,Ross River
Menindee,34183,13/02/1993,8,1993,Inland,Ross River
Wentworth,34002,06/02/1993,8,1993,Inland,Ross River
Griffith,34487,12/02/1994,8,1994,Inland,Ross River
Tamworth,34336,05/02/1994,8,1994,Inland,Ross River
Moree,20/02/1995,25/02/1995,8,1995,Inland,Ross River
Forbes,35218,10/02/1996,8,1996,Inland,Ross River
Griffith,35218,10/02/1996,8,1996,Inland,Ross River
Griffith,36709,12/02/2000,8,2000,Inland,Ross River
Leeton,36709,12/02/2000,8,2000,Inland,Ross River
Leeton,37227,17/02/2001,8,2001,Inland,Ross River
Wanaaring,37562,16/02/2002,8,2002,Inland,Ross River
Leeton,40545,05/02/2011,8,2011,Inland,Ross River
Leeton,23/02/2011,26/02/2011,8,2011,Inland,Ross River
Griffith,22/02/2012,25/02/2012,8,2012,Inland,Ross River
Griffith,17/02/2015,21/02/2015,8,2015,Inland,Ross River
Griffith,43222,10/02/2018,8,2018,Inland,Ross River
Forbes,23/02/2021,27/02/2021,8,2021,Inland,Ross River
Georges River - East,18/02/2014,22/02/2014,8,2014,Sydney,Ross River
Georges River - East,42310,14/02/2015,8,2015,Sydney,Ross River
Georges River - West,17/02/2015,21/02/2015,8,2015,Sydney,Ross River
Homebush,24/02/2015,28/02/2015,8,2015,Sydney,Ross River
Georges River - East,20/02/2019,23/02/2019,8,2019,Sydney,Ross River
Georges River - West,43801,16/02/2019,8,2019,Sydney,Ross River
Sydney Olympic Park,18/02/2019,23/02/2019,8,2019,Sydney,Ross River
Bankstown,44775,12/02/2022,8,2022,Sydney,Ross River
Bankstown,28/02/2022,05/03/2022,8,2022,Sydney,Ross River
Liverpool,22/02/2022,26/02/2022,8,2022,Sydney,Ross River
Ballina,26/03/1992,28/03/1992,11,1992,Coastal,Ross River
Port Stephens,35372,16/03/1996,11,1996,Coastal,Ross River
Maclean,35523,08/03/1997,11,1997,Coastal,Ross River
Port Stephens,15/03/1999,20/03/1999,11,1999,Coastal,Ross River
Port Stephens,40089,14/03/2009,11,2009,Coastal,Ross River
Port Macquarie,15/03/2011,19/03/2011,11,2011,Coastal,Ross River
Port Macquarie,26/03/2014,29/03/2014,11,2014,Coastal,Ross River
Central Coast,42097,07/03/2015,11,2015,Coastal,Ross River
Lake Macquarie,42280,14/03/2015,11,2015,Coastal,Ross River
Tweed,42280,14/03/2015,11,2015,Coastal,Ross River
Port Macquarie,44077,14/03/2020,11,2020,Coastal,Ross River
Tweed,45385,09/03/2024,11,2024,Coastal,Ross River
Griffith,33880,14/03/1992,11,1992,Inland,Ross River
Leeton,40789,12/03/2011,11,2011,Inland,Ross River
Leeton,21/03/2012,24/03/2012,11,2012,Inland,Ross River
Griffith,26/03/2014,29/03/2014,11,2014,Inland,Ross River
Griffith,42280,14/03/2015,11,2015,Inland,Ross River
Leeton,42280,14/03/2015,11,2015,Inland,Ross River
Georges River - All,42250,14/03/2015,11,2015,Sydney,Ross River
Homebush,42250,14/03/2015,11,2015,Sydney,Ross River
Georges River - East,26/03/2017,01/04/2017,11,2017,Sydney,Ross River
Taree,20/03/1990,24/03/1990,12,1990,Coastal,Ross River
Batemans Bay,33666,07/03/1992,12,1992,Coastal,Ross River
Merimbula,34518,12/03/1994,12,1994,Coastal,Ross River
Port Stephens,14/03/1994,19/03/1994,12,1994,Coastal,Ross River
Tathra,14/03/1995,18/03/1995,12,1995,Coastal,Ross River
Batemans Bay,24/03/1997,29/03/1997,12,1997,Coastal,Ross River
Taree,24/03/1998,28/03/1998,12,1998,Coastal,Ross River
Ballina,38567,12/03/2005,12,2005,Coastal,Ross River
Port Stephens,38567,12/03/2005,12,2005,Coastal,Ross River
Port Stephens,22/03/2005,26/03/2005,12,2005,Coastal,Ross River
Port Stephens,38932,11/03/2006,12,2006,Coastal,Ross River
Port Stephens,14/03/2006,18/03/2006,12,2006,Coastal,Ross River
Port Stephens,18/03/2009,21/03/2009,12,2009,Coastal,Ross River
Port Stephens,40758,12/03/2011,12,2011,Coastal,Ross River
Port Stephens,41063,10/03/2012,12,2012,Coastal,Ross River
Ballina,18/03/2014,22/03/2014,12,2014,Coastal,Ross River
Coffs Harbour,18/03/2014,22/03/2014,12,2014,Coastal,Ross River
Port Macquarie,17/03/2014,22/03/2014,12,2014,Coastal,Ross River
Port Stephens,18/03/2014,22/03/2014,12,2014,Coastal,Ross River
Port Stephens,24/03/2014,29/03/2014,12,2014,Coastal,Ross River
Tweed,41762,08/03/2014,12,2014,Coastal,Ross River
Tweed,41946,15/03/2014,12,2014,Coastal,Ross River
Tweed,17/03/2014,22/03/2014,12,2014,Coastal,Ross River
Central Coast,13/03/2019,16/03/2019,12,2019,Coastal,Ross River
Kempsey,43864,07/03/2020,12,2020,Coastal,Ross River
Kempsey,30/03/2020,04/04/2020,12,2020,Coastal,Ross River
Port Macquarie,43864,07/03/2020,12,2020,Coastal,Ross River
Port Macquarie,16/03/2020,21/03/2020,12,2020,Coastal,Ross River
Port Macquarie,23/03/2020,28/03/2020,12,2020,Coastal,Ross River
Port Macquarie,30/03/2020,04/04/2020,12,2020,Coastal,Ross River
Clarence Valley,17/03/2021,20/03/2021,12,2021,Coastal,Ross River
Central Coast,25/03/2024,30/03/2024,12,2024,Coastal,Ross River
Newcastle,45599,16/03/2024,12,2024,Coastal,Ross River
Kempsey,31/03/2025,05/04/2025,12,2025,Coastal,Ross River
Condobolin,33666,07/03/1992,12,1992,Inland,Ross River
Condobolin,17/03/1992,21/03/1992,12,1992,Inland,Ross River
Lake Cargelligo,17/03/1992,21/03/1992,12,1992,Inland,Ross River
Boggabilla,14/03/1994,19/03/1994,12,1994,Inland,Ross River
Fords Bridge,28/03/2000,01/04/2000,12,2000,Inland,Ross River
Griffith,20/03/2000,25/03/2000,12,2000,Inland,Ross River
Menindee,38049,06/03/2004,12,2004,Inland,Ross River
Griffith,40758,12/03/2011,12,2011,Inland,Ross River
Griffith,19/03/2012,24/03/2012,12,2012,Inland,Ross River
Leeton,13/03/2012,17/03/2012,12,2012,Inland,Ross River
Griffith,41946,15/03/2014,12,2014,Inland,Ross River
Griffith,17/03/2014,22/03/2014,12,2014,Inland,Ross River
Leeton,41976,15/03/2014,12,2014,Inland,Ross River
Leeton,42066,07/03/2015,12,2015,Inland,Ross River
Macquarie Marshes,42219,14/03/2015,12,2015,Inland,Ross River
Leeton,42372,05/03/2016,12,2016,Inland,Ross River
Narrandera,13/03/2023,18/03/2023,12,2023,Inland,Ross River
Griffith,45599,16/03/2024,12,2024,Inland,Ross River
Temora,45599,16/03/2024,12,2024,Inland,Ross River
Hawkesbury,30/03/1999,03/04/1999,12,1999,Sydney,Ross River
Georges River - East,17/03/2009,21/03/2009,12,2009,Sydney,Ross River
Georges River - East,31/03/2009,04/04/2009,12,2009,Sydney,Ross River
Georges River - East,18/03/2010,20/03/2010,12,2010,Sydney,Ross River
Hawkesbury,24/03/2010,27/03/2010,12,2010,Sydney,Ross River
Ryde,24/03/2010,27/03/2010,12,2010,Sydney,Ross River
Bankstown,41762,08/03/2014,12,2014,Sydney,Ross River
Georges River - East,41762,08/03/2014,12,2014,Sydney,Ross River
Georges River - East,41946,15/03/2014,12,2014,Sydney,Ross River
Georges River - East,17/03/2014,22/03/2014,12,2014,Sydney,Ross River
Georges River - All,17/03/2015,21/03/2015,12,2015,Sydney,Ross River
Georges River - West,31/03/2015,04/04/2015,12,2015,Sydney,Ross River
Hawkesbury,42066,07/03/2015,12,2015,Sydney,Ross River
Homebush,17/03/2015,21/03/2015,12,2015,Sydney,Ross River
Georges River - All,42769,04/03/2017,12,2017,Sydney,Ross River
Georges River - All,13/03/2017,18/03/2017,12,2017,Sydney,Ross River
Georges River - West,19/03/2017,25/03/2017,12,2017,Sydney,Ross River
Northern Beaches,30/03/2020,04/04/2020,12,2020,Sydney,Ross River
Hawkesbury,29/03/2022,02/04/2022,12,2022,Sydney,Ross River
Northern Beaches,28/03/2022,02/04/2022,12,2022,Sydney,Ross River
Penrith,45415,09/03/2024,12,2024,Sydney,Ross River
Port Stephens,24/04/1990,28/04/1990,16,1990,Coastal,Ross River
Ballina,33607,04/04/1992,16,1992,Coastal,Ross River
Port Macquarie,19/04/2005,23/04/2005,16,2005,Coastal,Ross River
Port Stephens,38476,09/04/2005,16,2005,Coastal,Ross River
Port Stephens,17/04/2007,21/04/2007,16,2007,Coastal,Ross River
Byron Bay,24/04/2012,28/04/2012,16,2012,Coastal,Ross River
Port Stephens,15/04/2014,19/04/2014,16,2014,Coastal,Ross River
Port Stephens,29/04/2014,03/05/2014,16,2014,Coastal,Ross River
Central Coast,26/04/2018,28/04/2018,16,2018,Coastal,Ross River
Ballina,17/04/2019,20/04/2019,16,2019,Coastal,Ross River
Ballina,23/04/2019,27/04/2019,16,2019,Coastal,Ross River
Ballina,43986,11/04/2020,16,2020,Coastal,Ross River
Central Coast,43834,04/04/2020,16,2020,Coastal,Ross River
Port Macquarie,27/04/2020,02/05/2020,16,2020,Coastal,Ross River
Port Macquarie,26/04/2022,30/04/2022,16,2022,Coastal,Ross River
Coffs Harbour,22/04/2025,26/04/2025,16,2025,Coastal,Ross River
Kempsey,28/04/2025,03/05/2025,16,2025,Coastal,Ross River
Newcastle,45842,12/04/2025,16,2025,Coastal,Ross River
Condobolin,33789,11/04/1992,16,1992,Inland,Ross River
Fords Bridge,36620,08/04/2000,16,2000,Inland,Ross River
Griffith,40943,07/04/2012,16,2012,Inland,Ross River
Leeton,17/04/2012,21/04/2012,16,2012,Inland,Ross River
Leeton,41674,05/04/2014,16,2014,Inland,Ross River
Homebush,37199,14/04/2001,16,2001,Sydney,Ross River
Georges River - East,39998,11/04/2009,16,2009,Sydney,Ross River
Blacktown,17/04/2014,19/04/2014,16,2014,Sydney,Ross River
Georges River - East,29/04/2014,03/05/2014,16,2014,Sydney,Ross River
Northern Beaches,43986,11/04/2020,16,2020,Sydney,Ross River
Northern Beaches,27/04/2020,02/05/2020,16,2020,Sydney,Ross River
Northern Beaches,44655,09/04/2022,16,2022,Sydney,Ross River
Northern Beaches,44899,16/04/2022,16,2022,Sydney,Ross River
Port Stephens,39145,07/04/2007,17,2007,Coastal,Ross River
Byron Bay,41490,13/04/2013,17,2013,Coastal,Ross River
Tweed,42220,11/04/2015,17,2015,Coastal,Ross River
Leeton,40972,07/04/2012,17,2012,Inland,Ross River
Georges River - East,14/04/2009,18/04/2009,17,2009,Sydney,Ross River
Northern Beaches,20/04/2020,25/04/2020,17,2020,Sydney,Ross River
Port Stephens,29/05/1989,03/06/1989,20,1989,Coastal,Ross River
Nyngan,28/05/1990,02/06/1990,20,1990,Inland,Ross River
Northern Beaches,44870,14/05/2022,20,2022,Sydney,Ross River
Griffith,16/11/1998,21/11/1998,46,1998,Inland,Ross River
Forbes,15/11/2016,19/11/2016,46,2016,Inland,Ross River
Griffith,21/11/2016,26/11/2016,46,2016,Inland,Ross River
Griffith,15/11/2022,19/11/2022,46,2022,Inland,Ross River
Griffith,35837,07/11/1998,47,1998,Inland,Ross River
Menindee,36018,14/11/1998,47,1998,Inland,Ross River
Forbes,29/11/2016,03/12/2016,47,2016,Inland,Ross River
Griffith,42380,05/11/2016,47,2016,Inland,Ross River
Griffith,30/11/2016,03/12/2016,47,2016,Inland,Ross River
Leeton,16/11/2016,19/11/2016,47,2016,Inland,Ross River
Leeton,29/11/2016,03/12/2016,47,2016,Inland,Ross River
Murray-Mathoura,42593,12/11/2016,47,2016,Inland,Ross River
Port Stephens,18/12/2007,22/12/2007,51,2007,Coastal,Ross River
Wentworth,18/12/1990,22/12/1990,51,1990,Inland,Ross River
Griffith,29/12/1992,02/01/1993,51,1992,Inland,Ross River
Griffith,34315,18/12/1993,51,1993,Inland,Ross River
Griffith,30/12/1996,04/01/1997,51,1996,Inland,Ross River
Menindee,13/12/2005,17/12/2005,51,2005,Inland,Ross River
Albury,42502,10/12/2016,51,2016,Inland,Ross River
Albury,19/12/2016,24/12/2016,51,2016,Inland,Ross River
Forbes,42502,10/12/2016,51,2016,Inland,Ross River
Griffith,42502,10/12/2016,51,2016,Inland,Ross River
Griffith,42716,17/12/2016,51,2016,Inland,Ross River
Leeton,42563,10/12/2016,51,2016,Inland,Ross River
Leeton,13/12/2016,17/12/2016,51,2016,Inland,Ross River
Murray-Mathoura,13/12/2016,17/12/2016,51,2016,Inland,Ross River
Temora,44693,10/12/2022,51,2022,Inland,Ross River
Griffith,19/12/2024,21/12/2024,51,2024,Inland,Ross River
Bankstown,17/12/2014,20/12/2014,51,2014,Sydney,Ross River
Georges River - East,42594,10/12/2016,51,2016,Sydney,Ross River
Georges River - East,29/12/2016,31/12/2016,51,2016,Sydney,Ross River
Griffith,20/12/2005,24/12/2005,52,2005,Inland,Ross River
Griffith,17/01/1989,21/01/1989,3,1989,Inland,Sindbis
Leeton,32721,14/01/1989,3,1989,Inland,Sindbis
Griffith,33117,13/01/1990,3,1990,Inland,Sindbis
Wentworth,33451,12/01/1991,3,1991,Inland,Sindbis
Griffith,23/01/1994,29/01/1994,3,1994,Inland,Sindbis
Griffith,36251,09/01/1999,3,1999,Inland,Sindbis
Griffith,36465,16/01/1999,3,1999,Inland,Sindbis
Griffith,18/01/1999,23/01/1999,3,1999,Inland,Sindbis
Leeton,36281,09/01/1999,3,1999,Inland,Sindbis
Albury,16/01/2001,20/01/2001,3,2001,Inland,Sindbis
Griffith,16/01/2001,20/01/2001,3,2001,Inland,Sindbis
Griffith,23/01/2001,27/01/2001,3,2001,Inland,Sindbis
Macquarie Marshes,21/01/2001,27/01/2001,3,2001,Inland,Sindbis
Griffith,38991,14/01/2006,3,2006,Inland,Sindbis
Griffith,17/01/2006,21/01/2006,3,2006,Inland,Sindbis
Griffith,24/01/2006,28/01/2006,3,2006,Inland,Sindbis
Leeton,39022,14/01/2006,3,2006,Inland,Sindbis
Leeton,18/01/2006,21/01/2006,3,2006,Inland,Sindbis
Leeton,24/01/2006,28/01/2006,3,2006,Inland,Sindbis
Albury,40848,15/01/2011,3,2011,Inland,Sindbis
Bourke,17/01/2011,22/01/2011,3,2011,Inland,Sindbis
Leeton,40664,08/01/2011,3,2011,Inland,Sindbis
Griffith,43009,14/01/2017,3,2017,Inland,Sindbis
Griffith,22/01/2017,28/01/2017,3,2017,Inland,Sindbis
Griffith,23/01/2017,28/01/2017,3,2017,Inland,Sindbis
Leeton,17/01/2017,21/01/2017,3,2017,Inland,Sindbis
Griffith,31/01/1994,05/02/1994,4,1994,Inland,Sindbis
Leeton,30/01/2001,03/02/2001,4,2001,Inland,Sindbis
Griffith,31/01/2006,04/02/2006,4,2006,Inland,Sindbis
Griffith,42795,07/01/2017,4,2017,Inland,Sindbis
Griffith,30/01/2017,04/02/2017,4,2017,Inland,Sindbis
Ballina,34579,12/02/1994,7,1994,Coastal,Sindbis
Batemans Bay,21/02/1996,24/02/1996,7,1996,Coastal,Sindbis
Leeton,27/02/1989,04/03/1989,7,1989,Inland,Sindbis
Griffith,15/02/1990,17/02/1990,7,1990,Inland,Sindbis
Griffith,26/02/1990,03/03/1990,7,1990,Inland,Sindbis
Griffith,15/02/1993,20/02/1993,7,1993,Inland,Sindbis
Menindee,15/02/1993,20/02/1993,7,1993,Inland,Sindbis
Wentworth,16/02/1993,20/02/1993,7,1993,Inland,Sindbis
Wee Waa,15/02/1994,19/02/1994,7,1994,Inland,Sindbis
Griffith,15/02/1999,20/02/1999,7,1999,Inland,Sindbis
Griffith,22/02/1999,27/02/1999,7,1999,Inland,Sindbis
Albury,15/02/2001,17/02/2001,7,2001,Inland,Sindbis
Griffith,15/02/2001,17/02/2001,7,2001,Inland,Sindbis
Griffith,15/02/2006,18/02/2006,7,2006,Inland,Sindbis
Leeton,40788,12/02/2011,7,2011,Inland,Sindbis
Menindee,27/02/2012,03/03/2012,7,2012,Inland,Sindbis
Tweed,19/02/2024,24/02/2024,8,2024,Coastal,Sindbis
Griffith,32541,04/02/1989,8,1989,Inland,Sindbis
Griffith,32691,11/02/1989,8,1989,Inland,Sindbis
Griffith,14/02/1989,18/02/1989,8,1989,Inland,Sindbis
Griffith,20/02/1989,25/02/1989,8,1989,Inland,Sindbis
Griffith,33026,10/02/1990,8,1990,Inland,Sindbis
Griffith,20/02/1990,24/02/1990,8,1990,Inland,Sindbis
Condobolin,34030,06/02/1993,8,1993,Inland,Sindbis
Griffith,33971,06/02/1993,8,1993,Inland,Sindbis
Griffith,34183,13/02/1993,8,1993,Inland,Sindbis
Menindee,34183,13/02/1993,8,1993,Inland,Sindbis
Griffith,34487,12/02/1994,8,1994,Inland,Sindbis
Griffith,13/02/1994,19/02/1994,8,1994,Inland,Sindbis
Griffith,20/02/1994,26/02/1994,8,1994,Inland,Sindbis
Leeton,13/02/1994,19/02/1994,8,1994,Inland,Sindbis
Bourke,18/02/1996,24/02/1996,8,1996,Inland,Sindbis
Deniliquin,14/02/1996,17/02/1996,8,1996,Inland,Sindbis
Griffith,19/02/1996,24/02/1996,8,1996,Inland,Sindbis
Griffith,37044,10/02/2001,8,2001,Inland,Sindbis
Griffith,22/02/2001,24/02/2001,8,2001,Inland,Sindbis
Leeton,28/02/2001,03/03/2001,8,2001,Inland,Sindbis
Griffith,22/02/2006,25/02/2006,8,2006,Inland,Sindbis
Leeton,38719,04/02/2006,8,2006,Inland,Sindbis
Leeton,14/02/2006,18/02/2006,8,2006,Inland,Sindbis
Griffith,39754,16/02/2008,8,2008,Inland,Sindbis
Griffith,25/02/2008,01/03/2008,8,2008,Inland,Sindbis
Griffith,42888,11/02/2017,8,2017,Inland,Sindbis
Maclean,22/03/1990,24/03/1990,11,1990,Coastal,Sindbis
Griffith,15/03/1993,20/03/1993,11,1993,Inland,Sindbis
Griffith,22/03/1993,27/03/1993,11,1993,Inland,Sindbis
Griffith,27/03/2000,01/04/2000,11,2000,Inland,Sindbis
Griffith,15/03/2006,18/03/2006,11,2006,Inland,Sindbis
Griffith,26/03/2012,31/03/2012,11,2012,Inland,Sindbis
Leeton,21/03/2012,24/03/2012,11,2012,Inland,Sindbis
Wagga Wagga,26/03/2012,31/03/2012,11,2012,Inland,Sindbis
Ballina,16/03/2006,18/03/2006,12,2006,Coastal,Sindbis
Wee Waa,14/03/1989,18/03/1989,12,1989,Inland,Sindbis
Griffith,13/03/1990,17/03/1990,12,1990,Inland,Sindbis
Griffith,33575,16/03/1991,12,1991,Inland,Sindbis
Griffith,33972,06/03/1993,12,1993,Inland,Sindbis
Wentworth,30/03/1993,03/04/1993,12,1993,Inland,Sindbis
Griffith,34488,12/03/1994,12,1994,Inland,Sindbis
Condobolin,35402,16/03/1996,12,1996,Inland,Sindbis
Griffith,36163,06/03/1999,12,1999,Inland,Sindbis
Fords Bridge,28/03/2000,01/04/2000,12,2000,Inland,Sindbis
Griffith,38932,11/03/2006,12,2006,Inland,Sindbis
Griffith,19/03/2012,24/03/2012,12,2012,Inland,Sindbis
Port Macquarie,43012,15/04/2017,16,2017,Coastal,Sindbis
Fords Bridge,36620,08/04/2000,16,2000,Inland,Sindbis
Condobolin,27/11/1990,01/12/1990,46,1990,Inland,Sindbis
Hay,27/11/1990,01/12/1990,46,1990,Inland,Sindbis
Griffith,21/11/2016,26/11/2016,46,2016,Inland,Sindbis
Menindee,20/11/1989,25/11/1989,47,1989,Inland,Sindbis
Wentworth,33035,10/11/1990,47,1990,Inland,Sindbis
Albury,23/11/2010,27/11/2010,47,2010,Inland,Sindbis
Griffith,16/11/2010,20/11/2010,47,2010,Inland,Sindbis
Griffith,23/11/2010,27/11/2010,47,2010,Inland,Sindbis
Griffith,30/11/2010,04/12/2010,47,2010,Inland,Sindbis
Forbes,42562,12/11/2016,47,2016,Inland,Sindbis
Griffith,30/11/2016,03/12/2016,47,2016,Inland,Sindbis
Leeton,15/12/1998,19/12/1998,50,1998,Inland,Sindbis
Wentworth,32854,16/12/1989,51,1989,Inland,Sindbis
Albury,17/12/1990,22/12/1990,51,1990,Inland,Sindbis
Condobolin,33219,15/12/1990,51,1990,Inland,Sindbis
Lake Cargelligo,33005,08/12/1990,51,1990,Inland,Sindbis
Lake Cargelligo,19/12/1990,22/12/1990,51,1990,Inland,Sindbis
Menindee,33219,15/12/1990,51,1990,Inland,Sindbis
Wentworth,32975,08/12/1990,51,1990,Inland,Sindbis
Wentworth,18/12/1990,22/12/1990,51,1990,Inland,Sindbis
Griffith,21/12/1998,26/12/1998,51,1998,Inland,Sindbis
Griffith,28/12/1998,02/01/1999,51,1998,Inland,Sindbis
Leeton,21/12/1998,26/12/1998,51,1998,Inland,Sindbis
Leeton,29/12/1998,02/01/1999,51,1998,Inland,Sindbis
Griffith,26/12/2000,30/12/2000,51,2000,Inland,Sindbis
Macquarie Marshes,18/12/2000,23/12/2000,51,2000,Inland,Sindbis
Albury,13/12/2010,18/12/2010,51,2010,Inland,Sindbis
Albury,22/12/2010,25/12/2010,51,2010,Inland,Sindbis
Griffith,13/12/2010,18/12/2010,51,2010,Inland,Sindbis
Griffith,21/12/2010,25/12/2010,51,2010,Inland,Sindbis
Griffith,31/12/2010,01/01/2011,51,2010,Inland,Sindbis
Leeton,14/12/2010,18/12/2010,51,2010,Inland,Sindbis
Leeton,23/12/2010,25/12/2010,51,2010,Inland,Sindbis
Murray-Mathoura,40371,11/12/2010,51,2010,Inland,Sindbis
Murray-Mathoura,14/12/2010,18/12/2010,51,2010,Inland,Sindbis
Murray-Mathoura,21/12/2010,25/12/2010,51,2010,Inland,Sindbis
Wagga Wagga,21/12/2010,25/12/2010,51,2010,Inland,Sindbis
Griffith,42502,10/12/2016,51,2016,Inland,Sindbis
Griffith,42716,17/12/2016,51,2016,Inland,Sindbis
Griffith,19/12/2016,24/12/2016,51,2016,Inland,Sindbis
Leeton,42563,10/12/2016,51,2016,Inland,Sindbis
Leeton,13/12/2016,17/12/2016,51,2016,Inland,Sindbis
Batemans Bay,23/01/1995,28/01/1995,3,1995,Coastal,Stratford
Port Stephens,15/01/2008,19/01/2008,3,2008,Coastal,Stratford
Port Stephens,23/01/2008,26/01/2008,3,2008,Coastal,Stratford
Cumberland State Forest,19/01/1999,23/01/1999,3,1999,Sydney,Stratford
Georges River - East,21/01/2014,25/01/2014,3,2014,Sydney,Stratford
Georges River - East,29/01/2014,01/02/2014,3,2014,Sydney,Stratford
Parramatta,23/01/2019,26/01/2019,3,2019,Sydney,Stratford
Georges River - East,44317,09/01/2021,3,2021,Sydney,Stratford
Georges River,29/01/2025,01/02/2025,3,2025,Sydney,Stratford
Port Stephens,31/01/2006,04/02/2006,4,2006,Coastal,Stratford
Griffith,14/01/2014,18/01/2014,4,2014,Inland,Stratford
Georges River - East,14/01/2014,18/01/2014,4,2014,Sydney,Stratford
Georges River - West,30/01/2018,03/02/2018,4,2018,Sydney,Stratford
Batemans Bay,27/02/1995,04/03/1995,7,1995,Coastal,Stratford
Lake Macquarie,16/02/2006,18/02/2006,7,2006,Coastal,Stratford
Lake Macquarie,21/02/2006,25/02/2006,7,2006,Coastal,Stratford
Newcastle,16/02/2006,18/02/2006,7,2006,Coastal,Stratford
Port Stephens,21/02/2006,25/02/2006,7,2006,Coastal,Stratford
Byron Bay,40423,13/02/2010,7,2010,Coastal,Stratford
Tweed,42249,14/02/2015,7,2015,Coastal,Stratford
Central Coast,43557,09/02/2019,7,2019,Coastal,Stratford
Narooma,45384,10/02/2024,7,2024,Coastal,Stratford
Port Macquarie,26/02/2024,02/03/2024,7,2024,Coastal,Stratford
Blacktown,26/02/2013,02/03/2013,7,2013,Sydney,Stratford
Georges River - East,41731,08/02/2014,7,2014,Sydney,Stratford
